row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
TNNI1,1128.3545900525874,3.288424405818484,0.6302469664728482,5.217675896517233,1.8118213631312747e-07,0.0017420662406507205,TRUE
FABP7,113.4694395830564,5.738509276889588,1.0791804910423846,5.317469435855665,1.0522035209681733e-7,0.0017420662406507205,TRUE
HSPB7,264.0782563967014,3.868268770063464,0.7525398455230607,5.14028432258598,2.743230454027682e-7,0.0017584107210317443,TRUE
APOBEC2,58.60694014976058,3.6877209538332183,0.7480775708301889,4.9295970065520365,8.239941280541893e-7,0.0024372618680922136,TRUE
IP6K3,27.891890885961885,4.525897011728636,0.9013349211320836,5.021326596382258,5.131581863096256e-7,0.0024372618680922136,TRUE
GPAT2,100.64644447845086,2.5660149680176687,0.51967461426173,4.937733915794693,7.903557855497466e-7,0.0024372618680922136,TRUE
CD70,144.15962650706825,2.3238331759224162,0.47279102057798716,4.91513813667935,8.871988079378832e-7,0.0024372618680922136,TRUE
MYOT,130.2227881749278,3.951435641094993,0.8193794493513878,4.822473451369702,1.4178890634492415e-6,0.0034082508362661143,TRUE
LTF,1513.4671569005334,3.3243877261041384,0.7044219072026677,4.719313371876275,2.3664203638171087e-6,0.005056251510689222,TRUE
DLEC1,48.41586671007407,-2.7629991436808985,0.5894046349703709,-4.687779803122507,2.7618494981703e-6,0.005311036584981487,TRUE
DES,3437.9866974918787,4.443694569585275,0.9572335939139123,4.6422258870126045,3.446757413981256e-6,0.0059683734225147896,TRUE
MYBPC1,782.420593389836,4.129317395598935,0.8925944053693403,4.626196815439701,3.724413992208917e-6,0.0059683734225147896,TRUE
TNNC1,517.9270475688566,3.988154590707768,0.8733978351028842,4.566251976383675,4.9652188450080044e-6,0.006365410559300262,TRUE
CDSN,347.04551330996884,3.2716744488389597,0.7146502678247335,4.578007727888141,4.694253554289436e-6,0.006365410559300262,TRUE
INSM1,134.19931509535027,4.041052393081227,0.880439954865887,4.589810322382268,4.436489728588373e-6,0.006365410559300262,TRUE
MURC,97.05278614451264,2.57191372451502,0.5841603670908007,4.402752855904117,1.0688590266247703e-5,0.012846349426246458,TRUE
UNC45B,57.865787321625305,3.771661919513234,0.8636147548082985,4.3672967587850575,1.2579375951688954e-5,0.013189900778393032,TRUE
FETUB,122.6571405262711,-3.646266362213771,0.8329593843119153,-4.377483981677991,1.2005718152237523e-5,0.013189900778393032,TRUE
SFTPA1,6.873182538170842,3.9021629756051968,0.8950808770327289,4.359564678156467,1.3032143254782507e-5,0.013189900778393032,TRUE
TCTEX1D2,520.4828451818229,-1.1673969055102498,0.2700867640826537,-4.322303277153543,1.5440874062827312e-5,0.014639275478537198,TRUE
MAPK4,70.32470622924328,3.7439528958338437,0.8677335289710093,4.314634355864481,1.598672829169429e-5,0.014639275478537198,TRUE
CHRNA1,104.54463296323028,3.1321860591518407,0.7374637957799224,4.247240443633335,2.1641966187240256e-5,0.01891704589911955,TRUE
LOC283143,29.72951334943775,2.045263376515236,0.48632354096417935,4.205561121841482,2.6043519015422875e-5,0.020867369611107578,TRUE
RYR2,108.13537075372462,-2.490512566478223,0.5921383625607939,-4.205963882677042,2.599717519995196e-5,0.020867369611107578,TRUE
KRT81,48.91394259337396,2.0870627198421867,0.5006720607548748,4.168522439010226,3.065805833578971e-5,0.023582178471889443,TRUE
MAGEA11,15.598510120726054,-4.315621818771892,1.0410989640201354,-4.145256087958633,3.3943414482014876e-5,0.024780547237703274,TRUE
IL13RA2,25.527199651893408,2.4665762553111823,0.595850917842985,4.139586231133673,3.4793280052937516e-5,0.024780547237703274,TRUE
C11orf92,435.9091767404578,2.8539822018295116,0.695608143860104,4.102859098215913,4.080757879304101e-5,0.028026062149649242,TRUE
ARPP21,41.23570302587005,4.542069419357865,1.1196334002319581,4.056746983804582,4.976093758350057e-5,0.03255510280418894,TRUE
SLC6A10P,88.48254643072521,-2.919304179848722,0.7218327459711931,-4.04429446591666,5.2480924957350864e-5,0.03255510280418894,TRUE
SGCA,39.36904472820927,2.914777179501349,0.7198825396051589,4.048962183608517,5.144525582757242e-5,0.03255510280418894,TRUE
PKNOX2,37.008409512847344,2.3861829869904,0.5995694249978399,3.979827668829171,6.896524333190595e-5,0.04144380091476723,TRUE
LOC388588,15.141460537251005,1.0412651605816736,0.2631672841626179,3.9566664370722036,7.600294054412771e-5,0.0442889862625326,TRUE
